District,Zone,Geographical Region,Development Region,Project_title,Sector,Amount_thousandsNPR
Sunsari,Kosi,Terai,Eastern,Agricultural Extension Program,Farm and Food Security,20500.0
Sunsari,Kosi,Terai,Eastern,Integrated Water Resource Management Project,Farm and Food Security,1417.0
Sunsari,Kosi,Terai,Eastern,Soil Test Service Program,Farm and Food Security,7190.0
Sunsari,Kosi,Terai,Eastern,Sericulture Development Program,Farm and Food Security,13227.0
Sunsari,Kosi,Terai,Eastern,Fishery Development Program,Farm and Food Security,2457.0
Sunsari,Kosi,Terai,Eastern,Crop Development Program,Farm and Food Security,15988.0
Sunsari,Kosi,Terai,Eastern,"Potato, Vegetable & Spices Development Program",Farm and Food Security,2695.0
Sunsari,Kosi,Terai,Eastern,"Cooperative Farming including Small Irrigation, Fertilizer and Seed Transportation",Farm and Food Security,6548.0
Sunsari,Kosi,Terai,Eastern,Crop Protection and Pesticide Development,Farm and Food Security,1378.0
Sunsari,Kosi,Terai,Eastern,Agriculture Extension & Training Program,Farm and Food Security,33178.0
Sunsari,Kosi,Terai,Eastern,Livestock Service Extension Program,Farm and Food Security,22191.0
Sunsari,Kosi,Terai,Eastern,Livestock and Bird's Market Promotion Program,Farm and Food Security,1300.0
Sunsari,Kosi,Terai,Eastern,"Livestock Development Service Program (Cow, Buffalo, Goat and Others)",Farm and Food Security,4141.0
Sunsari,Kosi,Terai,Eastern,Livestock Training Program,Farm and Food Security,13086.0
Sunsari,Kosi,Terai,Eastern,Veterinary Health Service Program,Farm and Food Security,624.0
Surkhet,Bheri,Hill,Mid-Western,Non-formal Education & National Literacy Campaign,Education,15781.0
Surkhet,Bheri,Hill,Mid-Western,School Sector Reform Program,Education,291078.0
Surkhet,Bheri,Hill,Mid-Western,Integrated District Health Program,"Health, Nutrition and Population",139047.0
Surkhet,Bheri,Hill,Mid-Western,Tuberculosis Control,"Health, Nutrition and Population",3496.0
Surkhet,Bheri,Hill,Mid-Western,Ayurveda Service Program,"Health, Nutrition and Population",4635.0
Surkhet,Bheri,Hill,Mid-Western,National Health Education Information & Communication Service,"Health, Nutrition and Population",6000.0
Surkhet,Bheri,Hill,Mid-Western,National Training Program,"Health, Nutrition and Population",225.0
Surkhet,Bheri,Hill,Mid-Western,Herbs Development Program (Including Karnali Processing Center),Forest and Land Conservation,2194.0
Surkhet,Bheri,Hill,Mid-Western,National Forest Development & Management Program,Forest and Land Conservation,5088.0
Surkhet,Bheri,Hill,Mid-Western,Strengthening Regional Co-Operation for Wildlife Protection Project,Forest and Land Conservation,432.0
Surkhet,Bheri,Hill,Mid-Western,Community Forest Development Program (Including Green Employment),Forest and Land Conservation,4185.0
Surkhet,Bheri,Hill,Mid-Western,District Soil Erosion Program,Forest and Land Conservation,10863.0
Surkhet,Bheri,Hill,Mid-Western,Multi Stakeholders Forestry Program,Forest and Land Conservation,2400.0
Surkhet,Bheri,Hill,Mid-Western,Agricultural Extension Program,Farm and Food Security,19500.0
Surkhet,Bheri,Hill,Mid-Western,Integrated Water Resource Management Project,Farm and Food Security,2305.0
Surkhet,Bheri,Hill,Mid-Western,Soil Test Service Program,Farm and Food Security,1325.0
Surkhet,Bheri,Hill,Mid-Western,Fishery Development Program,Farm and Food Security,1424.0
Surkhet,Bheri,Hill,Mid-Western,Crop Development Program,Farm and Food Security,2423.0
Surkhet,Bheri,Hill,Mid-Western,"Potato, Vegetable & Spices Development Program",Farm and Food Security,2541.0
Surkhet,Bheri,Hill,Mid-Western,"Cooperative Farming including Small Irrigation, Fertilizer and Seed Transportation",Farm and Food Security,6265.0
Surkhet,Bheri,Hill,Mid-Western,Horiculture Development Program,Farm and Food Security,827.0
Surkhet,Bheri,Hill,Mid-Western,Crop Protection and Pesticide Development,Farm and Food Security,1450.0
Surkhet,Bheri,Hill,Mid-Western,Livestock Service Extension Program,Farm and Food Security,15760.0
Surkhet,Bheri,Hill,Mid-Western,Livestock and Bird's Market Promotion Program,Farm and Food Security,1100.0
Surkhet,Bheri,Hill,Mid-Western,Community Livestock Development Project,Farm and Food Security,2280.0
Surkhet,Bheri,Hill,Mid-Western,"Livestock Development Service Program (Cow, Buffalo, Goat and Others)",Farm and Food Security,1714.0
Surkhet,Bheri,Hill,Mid-Western,Veterinary Health Service Program,Farm and Food Security,7441.0
Syangja,Gandaki,Hill,Western,Non-formal Education & National Literacy Campaign,Education,16081.17
Syangja,Gandaki,Hill,Western,School Sector Reform Program,Education,229392.0
Syangja,Gandaki,Hill,Western,Integrated District Health Program,"Health, Nutrition and Population",108306.0
Syangja,Gandaki,Hill,Western,Tuberculosis Control,"Health, Nutrition and Population",2031.0
Syangja,Gandaki,Hill,Western,Ayurveda Service Program,"Health, Nutrition and Population",4335.0
Syangja,Gandaki,Hill,Western,National Health Education Information & Communication Service,"Health, Nutrition and Population",5500.0
Syangja,Gandaki,Hill,Western,National Training Program,"Health, Nutrition and Population",150.0
Syangja,Gandaki,Hill,Western,National Forest Development & Management Program,Forest and Land Conservation,3143.0
Syangja,Gandaki,Hill,Western,Community Forest Development Program (Including Green Employment),Forest and Land Conservation,3054.0
Syangja,Gandaki,Hill,Western,District Soil Erosion Program,Forest and Land Conservation,7132.0
Syangja,Gandaki,Hill,Western,Community Development and Forest-Watershed Protection Project,Forest and Land Conservation,8315.0
Syangja,Gandaki,Hill,Western,Agricultural Extension Program,Farm and Food Security,20000.0
Syangja,Gandaki,Hill,Western,Integrated Water Resource Management Project,Farm and Food Security,1384.0
Syangja,Gandaki,Hill,Western,Soil Test Service Program,Farm and Food Security,1325.0
Syangja,Gandaki,Hill,Western,Sericulture Development Program,Farm and Food Security,6928.0
Syangja,Gandaki,Hill,Western,Fishery Development Program,Farm and Food Security,3419.0
Syangja,Gandaki,Hill,Western,Crop Development Program,Farm and Food Security,1108.0
Syangja,Gandaki,Hill,Western,"Potato, Vegetable & Spices Development Program",Farm and Food Security,1900.0
Syangja,Gandaki,Hill,Western,"Cooperative Farming including Small Irrigation, Fertilizer and Seed Transportation",Farm and Food Security,6386.0
Syangja,Gandaki,Hill,Western,Horiculture Development Program,Farm and Food Security,5085.0
Syangja,Gandaki,Hill,Western,Crop Protection and Pesticide Development,Farm and Food Security,1150.0
Syangja,Gandaki,Hill,Western,Livestock Service Extension Program,Farm and Food Security,22816.0
Syangja,Gandaki,Hill,Western,Livestock and Bird's Market Promotion Program,Farm and Food Security,1100.0
Syangja,Gandaki,Hill,Western,"Livestock Development Service Program (Cow, Buffalo, Goat and Others)",Farm and Food Security,1504.0
Syangja,Gandaki,Hill,Western,Veterinary Health Service Program,Farm and Food Security,623.0
Tanahu,Gandaki,Hill,Western,Non-formal Education & National Literacy Campaign,Education,13013.75
Tanahu,Gandaki,Hill,Western,School Sector Reform Program,Education,244603.0
Tanahu,Gandaki,Hill,Western,Integrated District Health Program,"Health, Nutrition and Population",102850.0
Tanahu,Gandaki,Hill,Western,Tuberculosis Control,"Health, Nutrition and Population",1878.0
Tanahu,Gandaki,Hill,Western,Ayurveda Service Program,"Health, Nutrition and Population",5335.0
Tanahu,Gandaki,Hill,Western,National Health Education Information & Communication Service,"Health, Nutrition and Population",5600.0
Tanahu,Gandaki,Hill,Western,National Training Program,"Health, Nutrition and Population",150.0
Tanahu,Gandaki,Hill,Western,National Forest Development & Management Program,Forest and Land Conservation,3030.0
Tanahu,Gandaki,Hill,Western,Leasehold Forest & Livestock Development Program,Forest and Land Conservation,3148.25
Tanahu,Gandaki,Hill,Western,Community Forest Development Program (Including Green Employment),Forest and Land Conservation,3995.0
Tanahu,Gandaki,Hill,Western,District Soil Erosion Program,Forest and Land Conservation,6945.0
Tanahu,Gandaki,Hill,Western,Community Development and Forest-Watershed Protection Project,Forest and Land Conservation,8310.0
Tanahu,Gandaki,Hill,Western,Agricultural Extension Program,Farm and Food Security,19500.0
Tanahu,Gandaki,Hill,Western,Integrated Water Resource Management Project,Farm and Food Security,2365.0
Tanahu,Gandaki,Hill,Western,Soil Test Service Program,Farm and Food Security,1325.0
Tanahu,Gandaki,Hill,Western,Sericulture Development Program,Farm and Food Security,6928.0
Tanahu,Gandaki,Hill,Western,Fishery Development Program,Farm and Food Security,775.0
Tanahu,Gandaki,Hill,Western,Crop Development Program,Farm and Food Security,884.0
Tanahu,Gandaki,Hill,Western,"Potato, Vegetable & Spices Development Program",Farm and Food Security,880.0
Tanahu,Gandaki,Hill,Western,"Cooperative Farming including Small Irrigation, Fertilizer and Seed Transportation",Farm and Food Security,6386.0
Tanahu,Gandaki,Hill,Western,Horiculture Development Program,Farm and Food Security,4552.0
Tanahu,Gandaki,Hill,Western,Crop Protection and Pesticide Development,Farm and Food Security,1250.0
Tanahu,Gandaki,Hill,Western,Livestock Service Extension Program,Farm and Food Security,16006.0
Tanahu,Gandaki,Hill,Western,Livestock and Bird's Market Promotion Program,Farm and Food Security,900.0
Tanahu,Gandaki,Hill,Western,Community Livestock Development Project,Farm and Food Security,3368.0
Tanahu,Gandaki,Hill,Western,"Livestock Development Service Program (Cow, Buffalo, Goat and Others)",Farm and Food Security,2623.0
Tanahu,Gandaki,Hill,Western,Hill Leasehold Forestry Project (Livestock Development),Farm and Food Security,1342.0
Tanahu,Gandaki,Hill,Western,Veterinary Health Service Program,Farm and Food Security,388.0
Taplejung,Mechi,Mountain,Eastern,Non-formal Education & National Literacy Campaign,Education,1476.63
Taplejung,Mechi,Mountain,Eastern,School Sector Reform Program,Education,203401.0
Taplejung,Mechi,Mountain,Eastern,Integrated District Health Program,"Health, Nutrition and Population",77426.0
Taplejung,Mechi,Mountain,Eastern,Tuberculosis Control,"Health, Nutrition and Population",1709.0
Taplejung,Mechi,Mountain,Eastern,Ayurveda Service Program,"Health, Nutrition and Population",2870.0
Taplejung,Mechi,Mountain,Eastern,National Health Education Information & Communication Service,"Health, Nutrition and Population",3400.0
Taplejung,Mechi,Mountain,Eastern,National Training Program,"Health, Nutrition and Population",150.0
Taplejung,Mechi,Mountain,Eastern,Herbs Development Program (Including Karnali Processing Center),Forest and Land Conservation,2195.0
Taplejung,Mechi,Mountain,Eastern,National Forest Development & Management Program,Forest and Land Conservation,2870.0
Taplejung,Mechi,Mountain,Eastern,Community Forest Development Program (Including Green Employment),Forest and Land Conservation,2092.0
Taplejung,Mechi,Mountain,Eastern,District Soil Erosion Program,Forest and Land Conservation,9311.0
Taplejung,Mechi,Mountain,Eastern,Agricultural Extension Program,Farm and Food Security,18000.0
Taplejung,Mechi,Mountain,Eastern,"Potato, Vegetable & Spices Development Program",Farm and Food Security,3780.0
Taplejung,Mechi,Mountain,Eastern,"Cooperative Farming including Small Irrigation, Fertilizer and Seed Transportation",Farm and Food Security,9748.0
Taplejung,Mechi,Mountain,Eastern,Livestock Service Extension Program,Farm and Food Security,15465.0
Taplejung,Mechi,Mountain,Eastern,Livestock and Bird's Market Promotion Program,Farm and Food Security,300.0
Taplejung,Mechi,Mountain,Eastern,"Livestock Development Service Program (Cow, Buffalo, Goat and Others)",Farm and Food Security,396.0
Taplejung,Mechi,Mountain,Eastern,Veterinary Health Service Program,Farm and Food Security,522.0
Terhathum,Kosi,Hill,Eastern,Non-formal Education & National Literacy Campaign,Education,1579.21
Terhathum,Kosi,Hill,Eastern,School Sector Reform Program,Education,126622.0
Terhathum,Kosi,Hill,Eastern,Integrated District Health Program,"Health, Nutrition and Population",106492.0
Terhathum,Kosi,Hill,Eastern,Tuberculosis Control,"Health, Nutrition and Population",1874.0
Terhathum,Kosi,Hill,Eastern,Ayurveda Service Program,"Health, Nutrition and Population",2835.0
Terhathum,Kosi,Hill,Eastern,National Health Education Information & Communication Service,"Health, Nutrition and Population",3400.0
Terhathum,Kosi,Hill,Eastern,National Training Program,"Health, Nutrition and Population",150.0
Terhathum,Kosi,Hill,Eastern,Agricultural Extension Program,Farm and Food Security,18300.0
Terhathum,Kosi,Hill,Eastern,Soil Test Service Program,Farm and Food Security,1325.0
Terhathum,Kosi,Hill,Eastern,Crop Development Program,Farm and Food Security,888.0
Terhathum,Kosi,Hill,Eastern,"Potato, Vegetable & Spices Development Program",Farm and Food Security,1257.0
Terhathum,Kosi,Hill,Eastern,Livestock Service Extension Program,Farm and Food Security,14965.0
Terhathum,Kosi,Hill,Eastern,"Cooperative Farming including Small Irrigation, Fertilizer and Seed Transportation",Farm and Food Security,8197.0
Terhathum,Kosi,Hill,Eastern,Horiculture Development Program,Farm and Food Security,392.0
Terhathum,Kosi,Hill,Eastern,Livestock and Bird's Market Promotion Program,Farm and Food Security,700.0
Terhathum,Kosi,Hill,Eastern,Hill Leasehold Forestry Project (Livestock Development),Farm and Food Security,733.0
Terhathum,Kosi,Hill,Eastern,Veterinary Health Service Program,Farm and Food Security,525.0
Terhathum,Kosi,Hill,Eastern,National Forest Development & Management Program,Forest and Land Conservation,1800.0
Terhathum,Kosi,Hill,Eastern,Leasehold Forest & Livestock Development Program,Forest and Land Conservation,2213.1
Terhathum,Kosi,Hill,Eastern,Multi Stakeholders Forestry Program,Forest and Land Conservation,13214.0
Terhathum,Kosi,Hill,Eastern,Community Forest Development Program (Including Green Employment),Forest and Land Conservation,405.0
Terhathum,Kosi,Hill,Eastern,District Soil Erosion Program,Forest and Land Conservation,8735.0
Udayapur,Sagarmatha,Hill,Eastern,Non-formal Education & National Literacy Campaign,Education,20903.04
Udayapur,Sagarmatha,Hill,Eastern,School Sector Reform Program,Education,242126.0
Udayapur,Sagarmatha,Hill,Eastern,Integrated District Health Program,"Health, Nutrition and Population",89860.0
Udayapur,Sagarmatha,Hill,Eastern,Tuberculosis Control,"Health, Nutrition and Population",1772.0
Udayapur,Sagarmatha,Hill,Eastern,Ayurveda Service Program,"Health, Nutrition and Population",2835.0
Udayapur,Sagarmatha,Hill,Eastern,National Health Education Information & Communication Service,"Health, Nutrition and Population",4000.0
Udayapur,Sagarmatha,Hill,Eastern,National Training Program,"Health, Nutrition and Population",150.0
Udayapur,Sagarmatha,Hill,Eastern,National Forest Development & Management Program,Forest and Land Conservation,8050.0
Udayapur,Sagarmatha,Hill,Eastern,Nepal Trade Interpretation Strategy - Forestry,Forest and Land Conservation,4085.0
Udayapur,Sagarmatha,Hill,Eastern,Community Forest Development Program (Including Green Employment),Forest and Land Conservation,2938.6
Udayapur,Sagarmatha,Hill,Eastern,District Soil Erosion Program,Forest and Land Conservation,10236.0
Udayapur,Sagarmatha,Hill,Eastern,Agricultural Extension Program,Farm and Food Security,20200.0
